,M
1598,11071
1599,11905
1600,12678
1601,13387
1602,14027
1603,14597
1604,15093
1605,15512
1606,15852
1607,16112
1608,16290
1609,16386
1610,16399
1611,16328
1612,16174
1613,15939
1614,15622
1615,15227
1616,14754
1617,14206
1618,13586
1619,12897
1620,12143
1621,11327
1622,10454
1623,9528
1624,8553
1625,7535
1626,6479
1627,5390
1628,4274
1629,3136
1630,1982
1631,818
1632,-350
1633,-1517
1634,-2675
1635,-3821
1636,-4946
1637,-6047
1638,-7117
1639,-8151
1640,-9143
1641,-10090
1642,-10985
1643,-11824
1644,-12603
1645,-13319
1646,-13966
1647,-14543
1648,-15046
1649,-15473
1650,-15821
1651,-16090
1652,-16276
1653,-16380
1654,-16401
1655,-16338
1656,-16193
1657,-15966
1658,-15657
1659,-15269
1660,-14804
1661,-14264
1662,-13651
1663,-12969
1664,-12221
1665,-11412
1666,-10544
1667,-9623
1668,-8653
1669,-7639
1670,-6586
1671,-5500
1672,-4386
1673,-3250
1674,-2098
1675,-934
1676,234
1677,1401
1678,2561
1679,3707
1680,4835
1681,5938
1682,7012
1683,8050
1684,9046
1685,9998
1686,10898
1687,11743
1688,12528
1689,13250
1690,13905
1691,14489
1692,15000
1693,15434
1694,15790
1695,16067
1696,16262
1697,16373
1698,16403
1699,16349
1700,16212
1701,15992
1702,15692
1703,15312
1704,14854
1705,14321
1706,13716
1707,13040
1708,12299
1709,11495
1710,10633
1711,9717
1712,8752
1713,7742
1714,6694
1715,5610
1716,4499
1717,3365
1718,2213
1719,1051
1720,-117
1721,-1284
1722,-2445
1723,-3593
1724,-4723
1725,-5829
1726,-6906
1727,-7947
1728,-8949
1729,-9904
1730,-10810
1731,-11661
1732,-12452
1733,-13181
1734,-13842
1735,-14434
1736,-14952
1737,-15394
1738,-15758
1739,-16043
1740,-16245
1741,-16366
1742,-16403
1743,-16357
1744,-16229
1745,-16018
1746,-15726
1747,-15353
1748,-14903
1749,-14378
1750,-13779
1751,-13111
1752,-12376
1753,-11578
1754,-10722
1755,-9811
1756,-8850
1757,-7845
1758,-6800
1759,-5720
1760,-4611
1761,-3479
1762,-2329
1763,-1168
1764,0
1765,1168
1766,2329
1767,3479
1768,4611
1769,5720
1770,6800
1771,7845
1772,8851
1773,9811
1774,10722
1775,11578
1776,12376
1777,13111
1778,13780
1779,14378
1780,14903
1781,15354
1782,15726
1783,16018
1784,16229
1785,16358
1786,16403
1787,16366
1788,16246
1789,16043
1790,15758
1791,15394
1792,14952
1793,14434
1794,13842
1795,13181
1796,12452
1797,11661
1798,10810
1799,9905
1800,8949
1801,7948
1802,6906
1803,5829
1804,4723
1805,3593
1806,2445
1807,1284
1808,117
1809,-1051
1810,-2213
1811,-3365
1812,-4499
1813,-5610
1814,-6693
1815,-7742
1816,-8752
1817,-9717
1818,-10633
1819,-11495
1820,-12299
1821,-13040
1822,-13716
1823,-14321
1824,-14854
1825,-15312
1826,-15692
1827,-15992
1828,-16211
1829,-16348
1830,-16403
1831,-16373
1832,-16261
1833,-16066
1834,-15790
1835,-15434
1836,-14999
1837,-14489
1838,-13905
1839,-13250
1840,-12528
1841,-11742
1842,-10897
1843,-9997
1844,-9046
1845,-8049
1846,-7012
1847,-5938
1848,-4835
1849,-3707
1850,-2560
1851,-1400
1852,-234
1853,935
1854,2098
1855,3251
1856,4387
1857,5501
1858,6587
1859,7639
1860,8653
1861,9623
1862,10544
1863,11412
1864,12222
1865,12969
1866,13651
1867,14264
1868,14804
1869,15270
1870,15657
1871,15966
1872,16193
1873,16339
1874,16401
1875,16380
1876,16276
1877,16090
1878,15822
1879,15473
1880,15046
1881,14543
1882,13967
1883,13319
1884,12603
1885,11824
1886,10985
1887,10090
1888,9144
1889,8151
1890,7117
1891,6047
1892,4947
1893,3821
1894,2676
1895,1517
1896,351
1897,-817
1898,-1981
1899,-3136
1900,-4274
1901,-5390
1902,-6479
1903,-7535
1904,-8553
1905,-9528
1906,-10454
1907,-11327
1908,-12143
1909,-12897
1910,-13586
1911,-14206
1912,-14754
1913,-15227
1914,-15622
1915,-15939
1916,-16174
1917,-16328
1918,-16398
1919,-16386
1920,-16290
1921,-16112
1922,-15852
1923,-15511
1924,-15093
1925,-14597
1926,-14027
1927,-13386
1928,-12678
1929,-11904
1930,-11071
1931,-10181
1932,-9240
1933,-8252
1934,-7222
1935,-6155
1936,-5058
1937,-3934
1938,-2791
1939,-1633
1940,-467
1941,701
1942,1866
1943,3021
1944,4161
1945,5280
1946,6372
1947,7432
1948,8454
1949,9433
1950,10364
1951,11243
1952,12064
1953,12825
1954,13520
1955,14147
1956,14702
1957,15183
1958,15586
1959,15911
1960,16154
1961,16316
1962,16395
1963,16391
1964,16304
1965,16134
1966,15882
1967,15549
1968,15138
1969,14650
1970,14088
1971,13454
1972,12752
1973,11985
1974,11157
1975,10273
1976,9337
1977,8353
1978,7327
1979,6264
1980,5169
1981,4048
1982,2906
1983,1749
1984,584
1985,-584
1986,-1749
1987,-2906
1988,-4048
1989,-5169
1990,-6264
1991,-7327
1992,-8353
1993,-9336
1994,-10273
1995,-11157
1996,-11985
1997,-12752
1998,-13454
1999,-14088
2000,-14650
2001,-15138
2002,-15549
2003,-15882
2004,-16134
2005,-16303
2006,-16391
2007,-16395
2008,-16316
2009,-16154
2010,-15911
2011,-15586
2012,-15182
2013,-14702
2014,-14147
2015,-13520
2016,-12825
2017,-12064
2018,-11243
2019,-10364
2020,-9433
2021,-8453
2022,-7431
2023,-6371
2024,-5280
2025,-4161
2026,-3021
2027,-1865
2028,-701
2029,467
2030,1633
2031,2791
2032,3934
2033,5058
2034,6156
2035,7222
2036,8253
2037,9240
2038,10182
2039,11072
2040,11905
2041,12678
2042,13387
2043,14027
2044,14597
2045,15093
2046,15512
2047,15852
2048,16112
2049,16291
2050,16386
2051,16398
2052,16328
2053,16174
2054,15939
2055,15622
2056,15227
2057,14754
2058,14206
2059,13586
2060,12898
2061,12143
2062,11327
2063,10454
2064,9528
2065,8554
2066,7535
2067,6479
2068,5390
2069,4274
2070,3136
2071,1982
2072,818
2073,-350
2074,-1517
2075,-2676
2076,-3821
2077,-4946
2078,-6047
2079,-7117
2080,-8151
2081,-9144
2082,-10090
2083,-10985
2084,-11824
2085,-12603
2086,-13318
2087,-13966
2088,-14543
2089,-15046
2090,-15473
2091,-15821
2092,-16090
2093,-16276
2094,-16380
2095,-16401
2096,-16339
2097,-16193
2098,-15966
2099,-15657
2100,-15269
2101,-14804
2102,-14264
2103,-13651
2104,-12969
2105,-12221
2106,-11412
2107,-10544
2108,-9623
2109,-8653
2110,-7639
2111,-6586
2112,-5500
2113,-4386
2114,-3250
2115,-2098
2116,-934
2117,234
2118,1401
2119,2561
2120,3707
2121,4835
2122,5938
2123,7012
2124,8049
2125,9046
2126,9997
2127,10898
2128,11743
2129,12528
