,M=100Hz,M=200Hz,M=500Hz
948,13250,15622,-16402
949,13387,15473,-16373
950,13520,15312,-16261
951,13651,15138,-16066
952,13779,14952,-15790
953,13905,14754,-15434
954,14027,14544,-14999
955,14147,14322,-14489
956,14264,14088,-13905
957,14378,13843,-13250
958,14489,13586,-12528
959,14597,13319,-11743
960,14702,13041,-10898
961,14804,12752,-9997
962,14903,12453,-9046
963,15000,12143,-8049
964,15093,11824,-7012
965,15183,11495,-5938
966,15270,11157,-4835
967,15353,10810,-3707
968,15434,10454,-2560
969,15512,10090,-1401
970,15586,9717,-234
971,15658,9337,934
972,15726,8949,2098
973,15791,8554,3251
974,15852,8151,4387
975,15911,7742,5500
976,15966,7327,6586
977,16018,6906,7639
978,16067,6479,8653
979,16112,6047,9623
980,16154,5610,10544
981,16193,5169,11412
982,16229,4723,12222
983,16262,4274,12969
984,16291,3821,13651
985,16316,3365,14264
986,16339,2906,14804
987,16358,2445,15270
988,16374,1982,15657
989,16386,1517,15966
990,16395,1051,16193
991,16401,584,16339
992,16403,117,16401
993,16403,-351,16380
994,16399,-817,16276
995,16391,-1284,16090
996,16380,-1749,15822
997,16366,-2213,15473
998,16349,-2675,15047
999,16328,-3136,14543
1000,16304,-3593,13966
1001,16276,-4048,13319
1002,16245,-4499,12603
1003,16211,-4947,11824
1004,16174,-5390,10985
1005,16134,-5829,10090
1006,16090,-6264,9144
1007,16043,-6693,8151
1008,15992,-7117,7117
1009,15939,-7535,6047
1010,15882,-7947,4947
1011,15822,-8353,3821
1012,15758,-8752,2676
1013,15692,-9144,1517
1014,15622,-9528,351
1015,15550,-9904,-818
1016,15474,-10273,-1982
1017,15394,-10633,-3136
1018,15312,-10985,-4274
1019,15227,-11327,-5390
1020,15138,-11661,-6479
1021,15046,-11985,-7535
1022,14952,-12299,-8553
1023,14854,-12603,-9528
1024,14754,-12897,-10454
1025,14650,-13181,-11327
1026,14543,-13454,-12143
1027,14434,-13715,-12897
1028,14321,-13966,-13586
1029,14206,-14206,-14206
1030,14088,-14434,-14753
1031,13966,-14650,-15227
1032,13842,-14854,-15622
1033,13716,-15046,-15938
1034,13586,-15227,-16174
1035,13454,-15394,-16328
1036,13319,-15549,-16398
1037,13181,-15692,-16386
1038,13040,-15821,-16290
1039,12898,-15938,-16112
1040,12752,-16043,-15852
1041,12603,-16134,-15511
